date,t,g0_kwh,geff_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_soc_kwh,ana_charge_kwh,ana_discharge_kwh,ana_emergency_kwh,ana_unused_kwh,ana_soc_kwh
2025-09-26,141,1049.8669466523797,1049.8669466523797,612.0652799857129,0.0,0.0,2.2737367544323206e-13,5511.721266933397,612.0652799857131,0.0,0.0,0.0,5511.721266933397
2025-09-26,142,440.48083862040596,440.48083862040596,0.0,16.08104471292745,0.0,1.1368683772161603e-13,5493.853439474588,0.0,16.081044712927337,0.0,0.0,5493.853439474588
2025-09-26,143,518.4536341537632,518.4536341537632,69.39253415376292,0.0,0.0,3.552713678800501e-13,5556.306720212975,69.39253415376328,0.0,0.0,0.0,5556.306720212975
2025-09-26,144,689.973809313912,689.973809313912,266.73380931391165,0.0,0.0,3.979039320256561e-13,5796.367148595496,266.73380931391205,0.0,0.0,0.0,5796.367148595496
2025-09-27,1,394.9077480663055,394.9077480663055,0.0,19.635535267027628,1.9184653865522705e-13,0.0,5774.549887187687,0.0,19.63553526702782,0.0,0.0,5774.549887187687
2025-09-27,2,413.889958029415,413.889958029415,0.0,0.11245863725189338,0.0,2.1600776722863202e-13,5774.424933146296,0.0,0.11245863725167737,0.0,0.0,5774.424933146296
2025-09-27,3,434.6843761055084,434.6843761055084,9.589376105507958,0.0,0.0,4.3520742565306136e-13,5783.055371641253,9.589376105508393,0.0,0.0,0.0,5783.055371641253
2025-09-27,4,416.41839217825003,416.41839217825003,0.0,40.51190782175026,0.0,3.055333763768431e-13,5738.042140728197,0.0,40.51190782174996,0.0,0.0,5738.042140728197
2025-09-27,5,371.31611629766013,371.31611629766013,0.0,78.34925036900668,0.0,1.4210854715202004e-13,5650.987418095968,0.0,78.34925036900654,0.0,0.0,5650.987418095968
2025-09-27,6,411.55091491369353,411.55091491369353,0.0,15.12908508630626,1.580957587066223e-13,0.0,5634.1773235556275,0.0,15.129085086306418,0.0,0.0,5634.1773235556275
2025-09-27,7,377.41693821865266,377.41693821865266,0.0,89.19677844801409,0.0,1.2789769243681803e-13,5535.069791946723,0.0,89.19677844801396,0.0,0.0,5535.069791946723
2025-09-27,8,395.08729722641317,395.08729722641317,0.0,76.6677027735871,0.0,2.7000623958883807e-13,5449.883455531626,0.0,76.66770277358683,0.0,0.0,5449.883455531626
2025-09-27,9,420.6322489693543,420.6322489693543,0.0,3.861084363978989,5.684341886080802e-14,0.0,5445.593361793872,0.0,3.861084363979046,0.0,0.0,5445.593361793872
2025-09-27,10,427.2658551610165,427.2658551610165,17.39380516101644,0.0,0.0,3.197442310920451e-14,5461.2477864387865,17.393805161016473,0.0,0.0,0.0,5461.2477864387865
2025-09-27,11,405.044118945097,405.044118945097,0.0,17.418981054902996,0.0,1.0658141036401503e-14,5441.89336304445,0.0,17.418981054902986,0.0,0.0,5441.89336304445
2025-09-27,12,438.1955342305102,438.1955342305102,3.1838675638432,0.0,0.0,3.348432642269472e-13,5444.758843851909,3.1838675638435348,0.0,0.0,0.0,5444.758843851909
