issue_date,issue_hour,window_position,absolute_date,absolute_t,pv_formal_kwh,pv_historical_kwh,actual_pv_kwh,error_formal_kwh,error_historical_kwh
2025-01-20,6,40,2025-01-20,76,1096.1307333333334,987.232847593583,1016.9914166666667,-79.13931666666667,29.758569073083777
2025-01-20,6,41,2025-01-20,77,1096.1307333333334,965.7961182709446,1010.2652333333333,-85.86550000000011,44.46911506238871
2025-01-20,6,42,2025-01-20,78,1096.1307333333334,954.1866644385026,995.8625,-100.26823333333346,41.675835561497365
2025-01-20,6,43,2025-01-20,79,919.9775166666667,943.2117704991086,975.568,55.59048333333328,32.356229500891345
2025-01-20,6,44,2025-01-20,80,919.9775166666667,917.182139483066,966.7533166666667,46.775800000000004,49.57117718360075
2025-01-20,6,45,2025-01-20,81,919.9775166666667,874.9710561497326,958.75,38.7724833333333,83.77894385026741
2025-01-20,6,46,2025-01-20,82,919.9775166666667,832.0629127450981,921.0309166666666,1.0533999999998969,88.96800392156854
2025-01-20,6,47,2025-01-20,83,919.9775166666667,805.349320409982,870.7207333333333,-49.256783333333374,65.37141292335127
2025-01-20,6,48,2025-01-20,84,919.9775166666667,785.872159090909,820.95625,-99.02126666666675,35.084090909090946
2025-01-20,6,49,2025-01-20,85,695.951125,749.3209744206773,770.2869000000001,74.33577500000001,20.965925579322743
2025-01-20,6,50,2025-01-20,86,695.951125,713.1058017825312,723.9499000000001,27.998775000000023,10.844098217468854
2025-01-20,6,51,2025-01-20,87,695.951125,683.1854612299466,689.7124999999999,-6.238625000000184,6.527038770053309
2025-01-20,6,52,2025-01-20,88,695.951125,646.5722928698752,668.8171333333332,-27.133991666666816,22.24484046345799
2025-01-20,6,53,2025-01-20,89,695.951125,603.3777488413548,635.0513666666666,-60.899758333333466,31.673617825311794
2025-01-20,6,54,2025-01-20,90,695.951125,562.1467245989304,586.33125,-109.61987500000009,24.18452540106955
2025-01-20,6,55,2025-01-20,91,431.5491666666667,529.6084759358288,543.7302999999999,112.18113333333326,14.121824064171165
2025-01-20,6,56,2025-01-20,92,431.5491666666667,486.6240820855615,497.73574999999994,66.18658333333326,11.111667914438442
2025-01-20,6,57,2025-01-20,93,431.5491666666667,431.5263703208556,448.64375,17.094583333333333,17.117379679144392
2025-01-20,6,58,2025-01-20,94,431.5491666666667,382.26036720142594,408.53931666666665,-23.00985000000003,26.278949465240714
2025-01-20,6,59,2025-01-20,95,431.5491666666667,339.15601336898396,365.92366666666663,-65.62550000000005,26.76765329768267
2025-01-20,6,60,2025-01-20,96,431.5491666666667,295.762165775401,313.34375,-118.20541666666668,17.581584224599
2025-01-20,6,61,2025-01-20,97,150.656725,246.32260124777184,255.58538333333334,104.92865833333335,9.262782085561497
2025-01-20,6,62,2025-01-20,98,150.656725,196.15948680926914,205.21409999999997,54.55737499999998,9.054613190730834
2025-01-20,6,63,2025-01-20,99,150.656725,149.8483622994652,162.36874999999998,11.712024999999983,12.52038770053477
2025-01-20,6,64,2025-01-20,100,150.656725,107.14245,115.89486666666666,-34.761858333333336,8.752416666666662
2025-01-20,6,65,2025-01-20,101,150.656725,63.19580080213903,66.77844999999999,-83.878275,3.5826491978609596
2025-01-20,6,66,2025-01-20,102,150.656725,24.165741978609624,25.39375,-125.262975,1.2280080213903766
2025-01-20,6,67,2025-01-20,103,10.579425,3.7107009803921573,4.1436166666666665,-6.435808333333334,0.43291568627450916
2025-01-20,6,68,2025-01-20,104,10.579425,0.0,0.0,-10.579425,0.0
