target_date,initial_soc_kwh,objective_value,plan_energy_kwh,plan_cost_yuan,scenario_count,status,solve_seconds,highs_objective,highs_max_primal_infeasibility,highs_num_primal_infeasibilities,simplex_iterations,ipm_iterations,mip_gap,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,purpose
2025-03-19,10058.487533045723,36099.69573877245,65515.06550716962,40091.7690631212,30,Optimal,0.5537361000024248,36099.695738772454,1.2256862191861728e-13,0,12143,0,,False,False,2.6261659513693303e-11,1.4551915228366852e-11,0.0,-1.2256862191861728e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-20,10032.592005626035,35583.326361681975,64656.64887434807,39639.12649345027,30,Optimal,0.5642054999916581,35583.326361682,0.0,0,12256,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-21,9833.904810120033,11181.972751192545,30718.316126163085,15799.739953526854,30,Optimal,0.2623192999890307,11181.972751192543,0.0,0,9998,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-22,10143.989636465181,10740.955727619732,30135.041891481127,15404.362632897359,30,Optimal,0.2422147000033874,10740.955727619736,0.0,0,9992,0,,False,False,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-23,9889.848830615885,36191.61778593504,65917.87059389378,40305.08342340163,30,Optimal,0.5193462000024738,36191.617785935065,0.0,0,11952,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-24,9808.015412460933,35393.88465734967,64829.99012555522,39581.60448741769,30,Optimal,0.746089899999788,35393.88465734972,0.0,0,13303,0,,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-25,9885.901569371234,35065.87344059024,64205.05773567324,39193.96531338006,30,Optimal,0.622115499994834,35065.87344059028,0.0,0,12281,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-26,9646.59559040641,35809.220237670794,65622.80260521863,39996.279940285705,30,Optimal,0.559167500003241,35809.22023767087,0.0,0,12442,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-27,10111.729720677291,34131.25369271297,62772.04765905685,38283.299325682725,30,Optimal,0.5272368999867467,34131.25369271306,1.77280412572145e-12,0,12463,0,,False,False,9.964917779825555e-12,8.559375430650107e-12,0.0,-1.77280412572145e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-28,9846.32646962738,10537.110480145318,30016.39543683837,15194.750366567572,30,Optimal,0.23748530000739265,10537.110480145318,0.0,0,9851,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-29,10314.400017082147,10039.070741727573,29153.690839538027,14699.959122992645,30,Optimal,0.24313520001305733,10039.070741727579,0.0,0,10022,0,,False,False,2.2737367544323206e-13,9.663381206337363e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-30,9561.149943917018,33059.59316965909,61346.19510699307,37219.75274099827,30,Optimal,0.5935303000005661,33059.59316965909,0.0,0,12579,0,,False,False,5.435651928564766e-13,4.064304448547773e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-31,10150.150498088107,32499.036769302158,60343.81512541311,36575.43735058924,30,Optimal,0.523218000002089,32499.03676930225,0.0,0,12106,0,,False,False,4.058620106661692e-11,4.831690603168681e-11,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-01,9840.610253809496,32933.780843915374,61531.009877728866,37148.35133719441,30,Optimal,0.5709497999923769,32933.78084391541,0.0,0,12429,0,,False,False,1.1368683772161603e-13,1.5774048733874224e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-02,9734.373079190362,34489.176716263646,64381.32221701342,38532.11227392956,30,Optimal,0.5018894999957411,34489.17671626363,0.0,0,12222,0,,False,False,1.1368683772161603e-13,1.6484591469634324e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-03,9929.560600610705,35503.63201406124,65475.16272902287,39356.5032912245,30,Optimal,0.6327469999960158,35503.632014061266,0.0,0,12419,0,,False,False,1.1368683772161603e-13,4.320099833421409e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-04,9977.848414539265,9942.27470424569,29190.531885504945,14605.58838617918,30,Optimal,0.23455799999646842,9942.274704245687,0.0,0,9872,0,,False,False,1.1368683772161603e-13,2.5366375666635577e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-05,10358.165091734474,9480.937125382476,28440.26928215691,14156.551235905943,30,Optimal,0.22782099999312777,9480.937125382472,0.0,0,9735,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-06,9441.391744041235,33713.43740646232,62187.9719160674,37623.73452337949,30,Optimal,0.615720700006932,33713.43740646236,0.0,0,13107,0,,False,False,1.1368683772161603e-13,3.3644198538240744e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-07,10163.822901189753,32653.716209274764,60397.53776129663,36588.755013536254,30,Optimal,0.54031070000201,32653.716209274786,6.821210263296962e-13,0,12130,0,,False,False,2.7245761202721042e-11,1.375610736431554e-11,0.0,0.0,1199.9999999999993,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-08,10170.044419397342,32034.911997835025,59961.710997789036,36024.93602031028,30,Optimal,0.4274718000087887,32034.911997835017,3.183231456205249e-12,0,11982,0,,False,False,2.1998403099132702e-11,1.5006662579253316e-11,0.0,-3.183231456205249e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-04-09,9635.137596099545,32643.019547577867,60304.012444512075,36686.20553331621,30,Optimal,0.46674619999248534,32643.019547577867,0.0,0,12469,0,,False,False,1.1368683772161603e-13,1.1253220577600587e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
