date,t,source_right_end_label,physical_interval,price_yuan_per_kwh,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,plan_grid_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_emergency_kwh,analytical_unused_kwh,analytical_end_soc_kwh
2025-10-05,49,08:10,8:00-8:10,1.1683,1139.3171333333332,670.9635999999999,1123.597241318893,666.6870708585859,0.0,0.0,468.3535333333329,0.0,0.0,4569.740620687924,0.0,468.3535333333333,0.0,0.0,4569.740620687924
2025-10-05,50,08:20,8:10-8:20,1.0956,1088.4635166666667,749.4766166666666,1093.4469946097227,721.3455372727274,0.0,0.0,338.98690000000033,0.0,0.0,4193.088509576813,0.0,338.9869000000001,0.0,0.0,4193.088509576813
2025-10-05,51,08:30,8:20-8:30,1.0849,1078.7933333333333,827.34375,1093.013154533922,764.2779356060605,0.0,0.0,251.44958333333315,0.0,0.0,3913.700083650887,0.0,251.4495833333333,0.0,0.0,3913.700083650887
2025-10-05,52,08:40,8:30-8:40,1.061,1086.8870333333332,893.8685833333334,1074.6715546493251,816.4620322222222,0.0,0.0,193.01845,0.0,0.0,3699.2351392064425,0.0,193.0184499999998,0.0,0.0,3699.2351392064425
2025-10-05,53,08:50,8:40-8:50,1.043,1092.9654333333333,953.0406166666667,1067.5534066103965,871.503895050505,0.0,0.0,139.9248166666665,0.0,0.0,3543.763120687924,0.0,139.92481666666663,0.0,0.0,3543.763120687924
2025-10-05,54,09:00,8:50-9:00,1.036,1091.6983333333333,996.0375,1083.6388260216975,925.0036174242423,0.0,0.0,95.66083333333323,0.0,0.0,3437.4733058731094,0.0,95.66083333333324,0.0,0.0,3437.4733058731094
2025-10-05,55,09:10,9:00-9:10,1.0147,1089.6624333333332,1015.0345166666666,1101.3570741838746,977.0274118181818,0.0,0.0,74.6279166666665,0.0,0.0,3354.5533984657022,0.0,74.62791666666658,0.0,0.0,3354.5533984657022
2025-10-05,56,09:20,9:10-9:20,0.9922,1092.0929166666665,1068.8353833333333,1116.1504261276843,1010.0964107575758,0.0,0.0,23.25753333333305,0.0,0.0,3328.711694761999,0.0,23.257533333333186,0.0,0.0,3328.711694761999
2025-10-05,57,09:30,9:20-9:30,0.97,1085.3466666666666,1151.225,1112.734598022616,1028.9876515151514,0.0,65.8783333333334,0.0,0.0,0.0,3388.002194761999,65.87833333333333,0.0,0.0,0.0,3388.002194761999
2025-10-05,58,09:40,9:30-9:40,0.9422,1054.6660333333332,1190.1441,1075.5353838291783,1063.8269738888887,0.0,135.47806666666676,0.0,0.0,0.0,3509.932454761999,135.4780666666668,0.0,0.0,0.0,3509.932454761999
2025-10-05,59,09:50,9:40-9:50,0.9569,1051.8222333333333,1179.32445,1047.9544908097246,1136.874187929293,0.0,127.50221666666675,0.0,0.0,0.0,3624.684449761999,127.50221666666675,0.0,0.0,0.0,3624.684449761999
2025-10-05,60,10:00,9:50-10:00,0.9977,1085.01,1169.34375,1055.2537502420305,1216.0185037878787,0.0,84.33375000000018,0.0,0.0,0.0,3700.5848247619992,84.33375000000001,0.0,0.0,0.0,3700.5848247619992
2025-10-05,61,10:10,10:00-10:10,0.9919,1107.4813666666666,1222.0850666666665,1081.8906907650455,1243.6304416161615,0.0,114.60369999999986,0.0,0.0,0.0,3803.728154761999,114.60369999999989,0.0,0.0,0.0,3803.728154761999
2025-10-05,62,10:20,10:10-10:20,0.9588,1095.8472499999998,1288.7817499999999,1083.5921943493706,1266.3891678787877,0.0,192.93450000000018,0.0,0.0,0.0,3977.3692047619993,192.93450000000007,0.0,0.0,0.0,3977.3692047619993
2025-10-05,63,10:30,10:20-10:30,0.9549,1067.03,1340.88125,1061.0113508557852,1310.8137121212121,0.0,273.8512500000004,0.0,0.0,0.0,4223.835329762,273.85124999999994,0.0,0.0,0.0,4223.835329762
2025-10-05,64,10:40,10:30-10:40,0.9839,1059.4295833333333,1390.2965166666665,1056.1188944839373,1354.846674848485,0.0,330.8669333333334,0.0,0.0,0.0,4521.615569762,330.86693333333324,0.0,0.0,0.0,4521.615569762
2025-10-05,65,10:50,10:40-10:50,0.799,1062.9030166666666,1418.8354833333333,1068.8451537413755,1371.246433181818,0.0,355.93246666666647,0.0,0.0,0.0,4841.954789762,355.93246666666664,0.0,0.0,0.0,4841.954789762
2025-10-05,66,11:00,10:50-11:00,0.5025,1072.5049999999999,1429.2625,1080.5682584900253,1374.8063068181816,0.0,356.75750000000033,0.0,0.0,0.0,5163.036539762,356.75750000000016,0.0,0.0,0.0,5163.036539762
2025-10-05,67,11:10,11:00-11:10,0.4662,1090.1246833333332,1443.3918833333332,1074.044554546064,1403.2725398989899,0.0,353.26720000000023,0.0,0.0,0.0,5480.977019762,353.2672,0.0,0.0,0.0,5480.977019762
2025-10-05,68,11:20,11:10-11:20,0.5007,1076.8237333333332,1445.07535,1066.8299885383487,1417.823298282828,0.0,368.25161666666645,0.0,0.0,0.0,5812.403474762,368.2516166666669,0.0,0.0,0.0,5812.403474762
2025-10-05,69,11:30,11:20-11:30,0.4827,1043.6499999999999,1451.3999999999999,1071.4525651291588,1425.7044696969697,0.0,208.44058359777793,0.0,0.0,199.30941640222207,6000.0,407.75,0.0,0.0,0.0,6179.378474762
2025-10-05,70,11:40,11:30-11:40,0.4785,1036.1151333333332,1493.8363499999998,1077.3949117677046,1472.529784090909,0.0,255.55555555555554,0.0,0.0,202.16566111111104,6230.0,457.7212166666666,0.0,0.0,0.0,6591.327569762
2025-10-05,71,11:50,11:40-11:50,0.4662,1000.4671666666666,1494.3339333333333,1040.6697203834826,1498.1844234343432,270.44418488023814,544.4444444444445,0.0,0.0,219.86650710246045,6720.0,764.3109515469049,0.0,0.0,0.0,7279.207426154215
2025-10-05,72,12:00,11:50-12:00,0.4432,958.29,1463.5812499999997,988.0472254510703,1495.5064393939392,353.19483482967814,577.7777777777777,0.0,0.0,280.7083070519002,7240.0,833.3333333333334,0.0,0.0,25.152751496344536,8029.207426154215
2025-10-05,73,12:10,12:00-12:10,0.4411,988.9529166666666,1489.8453833333333,992.5015996702466,1512.1569669191917,341.13276299795507,611.1111111111111,0.0,0.0,230.91411855351066,7790.0,833.3333333333334,0.0,0.0,8.691896331288376,8779.207426154215
2025-10-05,74,12:20,12:10-12:20,0.4551,1004.1636,1508.3493166666667,998.7795087565574,1498.4616894949495,282.1147441269716,655.5555555555555,0.0,0.0,130.74490523808277,8380.0,786.3004607936383,0.0,0.0,0.0,9486.877840868488
2025-10-05,75,12:30,12:20-12:30,0.4463,974.0416666666666,1483.25,983.5403716162015,1465.962784090909,171.20186245753985,544.4444444444445,0.0,0.0,135.96575134642876,8870.0,680.4101957908732,0.0,0.0,0.0,10099.247017080274
2025-10-05,76,12:40,12:30-12:40,0.4113,960.7243166666667,1450.0910833333332,982.9134704935071,1479.7142153535353,295.38677160153804,688.8888888888889,0.0,0.0,95.86464937931567,9490.0,778.6144254663627,0.0,0.0,6.139112801841861,10800.0
